address;zipcode;city
Rue de Paris;60000;Allonne
Centre Commercial Leclerc;37400;Amboise
44 Rue des Trois Cailloux;80000;Amiens
Centre Commercial Carrefour;6600;Antibes
102 Avenue Winston Churchill;62000;Arras
15 Rue des Coquelicots;62217;Beaurains
Avenue Nelson Mandela;60000;Beauvais
Centre commercial Rives d'Arcins;33324;Begles cedex
2 Rue Francois Villon;25000;Besancon
21-23 Rue Sainte Catherine;33000;Bordeaux
35-36 Place de la Victoire;33000;Bordeaux
Place Latule;33000;Bordeaux
192 Boulevard Jean Jaures;92100;Boulogne
Les Chabanneries;26503;Bourg les valence
Rue Jean Moulin;91800;Boussy saint antoine
Rue Andre Boulloche;69500;Bron
1 avenue de l'europe;77600;Bussy saint georges
Route de la vieille ferme;33140;Cadaujac
Place Foch;69300;Caluire
49 B, rue de Rennes;35510;Cesson - sevigne
114-118 Avenue du Grand Sud;37170;Chambray les tours
8 Avenue du General de Gaulle;69410;Champagne au mont d'or
2 Boulevard de Champy-Nesles;77420;Champs sur marne
75 Avenue de Chaponnay;69970;Chaponnay
4, Place des Epars;28000;Chartres
Centre Commercial Carrefour;28000;Chartres
101 Avenue Carnot;50100;Cherbourg
Centre Commercial Carrefour;77410;Claye souilly
93 Boulevard Jean Jaures;92110;Clichy la garenne
64 Boulevard Charles de Gaulle;92000;Colombes
Centre Commercial Carrefour;60200;Compiegne venette
Avenue Paul Maintenant;91100;Corbeil essonnes
Boulevard de la Marne;77120;Coulommiers
275 avenue du Bois;62780;Cucq
Avenue de Verdun;69510;Decines charpieu
36-38 Rue de la Liberte;21000;Dijon
Rue aux Charmes Asnieres;21000;Dijon
25 Boulevard Gabriel;21200;Dijon
Boulevard des Allobroges;21121;Fontaine-les-dijon
Rue Jean Moulin;7500;Grange-les-valence
4 Place Felix Poulat;38000;Grenoble
Avenue de l'Universite;83160;La valette du var
137/145, avenue du General Leclerc;77400;Lagny
Centre Commercial Leclerc;33210;Langon
Centre Commercial Grand Sud;34970;Lattes
Centre Commercial Grand Sud;34970;Lattes
2 Avenue de la Liberation;33110;Le bouscat
Centre Commercial Les Ulis 2;91940;Les ulis
Gare de Lille Flandres;59000;Lille
2 - 8, Avenue de l'Abattoir;87000;Limoges
65, Rue de Bellac;87100;Limoges
Centre Commercial Cora;87280;Limoges
Centre Commercial Valoree;77185;Lognes
Rond-point de la Besliere;22600;Loudeac
7 Place Marcadal;65100;Lourdes
68 Rue de la Republique;69002;Lyon
48 Rue Victor Hugo;69002;Lyon
35 Rue Edouard Herriot;69002;Lyon
Centre Commercial La Part Dieu;69003;Lyon
Route de Bordeaux;47200;Marmande
1 Boulevard Dugommier;13001;Marseille
Rue Salvador Allende;77100;Meaux
16 Place Georges Clemenceau;6500;Menton
Avenue Pierre et Marie Curie;80350;Mers les bains
Centre Commercial Carrefour;38240;Meylan
Centre Commercial Carrefour;78360;Montesson
Centre Commercial Valdoly;91230;Montgeron
place de Londres;34000;Montpellier
57 Rue Saint Dizier;54000;Nancy
38 - 40 Avenue du Marechal Joffre;92000;Nanterre
Centre Commercial Carrefour La Beaujoire;44331;Nantes cedex 03
Avenue du General Leclerc;11100;Narbonne
3, voie du Silene;11100;Narbonne
320 Route de Turin;6000;Nice
1 Promenade des Anglais;6000;Nice
20 Avenue Jean Medecin;6000;Nice
Rue de la Bergeresse;45160;Olivet
3-5, Boulevard de Verdun;45000;Orleans
18 Rue Basse Mouillere;45100;Orleans
17 Rue de l'Arc en Ciel;75001;Paris
12 Rue Berger;75001;Paris
184 Rue de Rivoli;75001;Paris
116 Rue de Rivoli;75002;Paris
19 Place de la Republique;75003;Paris
5 Rue du Renard;75004;Paris
98 Boulevard Saint Germain;75005;Paris
65 Boulevard Saint Michel;75005;Paris
2 Boulevard de l'Hopital;75005;Paris
167 Rue de Rennes;75006;Paris
140 Avenue des Champs Elysees;75008;Paris
119 Rue Saint Lazare;75008;Paris
84, avenue des Champs Elysees;75008;Paris
20 Boulevard Montmartre;75009;Paris
73 Rue Caumartin;75009;Paris
34 Boulevard des Italiens;75009;Paris
10 Place de Clichy;75009;Paris
2 Boulevard Poissonniere;75009;Paris
25 rue de Dunkerque;75010;Paris
29 Rue du Faubourg du Temple;75010;Paris
84 Boulevard Magenta;75010;Paris
1 Boulevard de Belleville;75011;Paris
4 boulevard Richard Lenoir;75011;Paris
88, bis rue Parmentier;75011;Paris
130 boulevard Voltaire;75011;Paris
282 Avenue Daumesnil;75012;Paris
116 Boulevard Diderot;75012;Paris
80 rue Traversiere;75012;Paris
211-213 Boulevard Vincent Auriol;75013;Paris
82-84 Avenue d'Italie;75013;Paris
84 Rue Nationale;75013;Paris
2, Boulevard Arago;75013;Paris
9-11 av de Choisy;75013;Paris
30, Avenue d'Italie;75013;Paris
5 Avenue du General Leclerc;75014;Paris
71 Avenue du General Leclerc;75014;Paris
192 Rue de la Convention;75015;Paris
1, rue du Commerce;75015;Paris
48 rue Linois;75015;Paris
131 Avenue Victor Hugo;75016;Paris
Place de Passy;75016;Paris
11 Avenue de Wagram;75017;Paris
57 Avenue de Clichy;75017;Paris
145, ave de Villiers;75017;Paris
2 Rue d'Orsel;75018;Paris
18 Boulevard de Clichy;75018;Paris
2 Avenue Secretan;75019;Paris
208 Avenue Jean Jaures;75019;Paris
353 Rue de Belleville;75019;Paris
87, avenue de Flandres;75019;Paris
67 Boulevard Davout;75020;Paris
Place de la Porte de Bagnolet;75020;Paris
7 Place Gambetta;75020;Paris
234, avenue de Versailles;75116;Paris
6 Rue de La Chapelle;75865;Paris cedex 18
62 Boulevard Ornano;75865;Paris cedex 18
Centre Commercial des 4 Temps;92092;Paris
Centre commercial Leclerc;79200;Parthenay
240 avenue Joffre;66000;Perpignan
1 Avenue de la Tuileranne;33605;Pessac
Rue du bois de Gaye;26600;Pont de l'isere
37 rue d'Anton;10150;Pont sainte marie
Rue Albert de Mum;56300;Pontivy
Quartier Les Salles;83480;Puget sur argens
Boulevard Jean Jaures;21800;Quetigny
Pole d'activites de Kervidanou;29300;Quimperle mellac
Centre Commercial Colombia;35000;Rennes
318 Route de Saint Malo;35000;Rennes
Centre Commercial Leclerc Cleunay;35000;Rennes
63 Rue Jean Jaures;42300;Roanne
Les Hauts de Rubelles;77950;Rubelles
15 Route de St Nazaire;44800;Saint herblain
Centre Commercial Les 3 Fontaines;45140;Saint jean de la ruelle
Rue de la Maille;10800;Saint julien les villas
